79.8864,74.624,20.3051
79.9425,74.4266,20.3775
80.0245,74.1481,20.4833
80.1306,73.804,20.6202
80.2592,73.4115,20.786
80.4082,72.9882,20.9781
80.5757,72.5501,21.194
80.7597,72.1104,21.4312
80.9581,71.6791,21.6872
81.169,71.2633,21.9594
81.3902,70.868,22.2456
81.6196,70.4963,22.5435
81.8553,70.1501,22.8512
82.095,69.8298,23.1668
82.3367,69.5351,23.489
82.5784,69.2651,23.8165
82.8179,69.0183,24.148
83.0535,68.7937,24.4823
83.2834,68.5904,24.8179
83.5059,68.4079,25.1533
83.7193,68.2458,25.4872
83.9223,68.1037,25.8184
84.1132,67.9813,26.1463
84.2905,67.878,26.4711
84.4524,67.7931,26.7938
84.5972,67.7253,27.1161
84.7231,67.6735,27.44
84.8286,67.6363,27.7674
84.9126,67.6124,28.0996
84.9739,67.6005,28.4367
85.0121,67.599,28.7788
85.0261,67.6062,29.1253
85.015,67.6198,29.476
84.9772,67.6364,29.8311
84.9099,67.6517,30.1919
84.8099,67.6601,30.5606
84.6729,67.6552,30.9404
84.4951,67.6306,31.3343
84.2734,67.5806,31.7449
84.0062,67.5014,32.1734
83.6936,67.3904,32.6196
83.337,67.2464,33.0824
82.9386,67.069,33.5602
82.5012,66.858,34.0512
82.0278,66.6129,34.5538
81.5211,66.3326,35.067
80.9838,66.0154,35.5905
80.4184,65.6593,36.1244
79.8275,65.2625,36.6686
79.214,64.8243,37.2225
78.5811,64.3453,37.7845
77.9326,63.8275,38.3525
77.2721,63.2737,38.9234
76.6027,62.6873,39.4938
75.9273,62.0715,40.0602
75.2476,61.4297,40.6192
74.564,60.7642,41.167
73.876,60.0774,41.7005
73.1825,59.371,42.2164
72.4828,58.6472,42.7117
71.777,57.9087,43.1839
71.0663,57.159,43.6304
70.3532,56.4023,44.0491
69.6403,55.6431,44.4382
68.9307,54.886,44.7962
68.2268,54.1359,45.122
67.5307,53.3971,45.415
66.8433,52.674,45.6748
66.165,51.9704,45.9016
65.4959,51.29,46.0957
64.8363,50.6362,46.2575
64.1871,50.0123,46.3878
63.5497,49.4215,46.4871
62.9261,48.867,46.5563
62.318,48.3518,46.5961
61.7268,47.8788,46.6074
61.1531,47.4514,46.5914
60.5964,47.0728,46.5492
60.055,46.7465,46.4821
59.5264,46.4761,46.3917
59.008,46.2643,46.2794
58.4982,46.1134,46.1467
57.996,46.0244,45.9952
57.5016,45.9974,45.8264
57.0159,46.0316,45.6415
56.5401,46.1258,45.4414
56.0751,46.2785,45.2265
55.6214,46.4882,44.9967
55.179,46.7535,44.7508
54.7468,47.0733,44.4871
54.3239,47.4463,44.2036
53.9093,47.8709,43.8986
53.5025,48.3448,43.5712
53.1039,48.8652,43.2213
52.7148,49.4285,42.8498
52.337,50.0315,42.458
51.9729,50.6707,42.047
51.6253,51.344,41.6176
51.2975,52.0503,41.1697
50.9933,52.7897,40.7022
50.7167,53.5637,40.2132
50.4715,54.3736,39.7009
50.2611,55.2201,39.164
50.0877,56.1019,38.6025
49.9529,57.0159,38.0177
49.8572,57.9573,37.412
49.8006,58.9203,36.7885
49.7825,59.8982,36.1505
49.8016,60.8839,35.5012
49.8566,61.8699,34.8433
49.9458,62.8489,34.179
50.0671,63.8135,33.5104
50.2185,64.7569,32.8391
50.3977,65.6725,32.1675
50.6021,66.5542,31.4982
50.8295,67.3967,30.8344
51.0771,68.1952,30.1799
51.3423,68.9453,29.5384
51.6225,69.6434,28.9138
51.9149,70.2861,28.3102
52.2165,70.8706,27.7313
52.5247,71.3947,27.181
52.8364,71.8565,26.6626
53.149,72.2547,26.1793
53.4598,72.5886,25.7337
53.7663,72.8579,25.3281
54.0664,73.0631,24.964
54.3577,73.205,24.6427
54.6383,73.2848,24.3648
54.9061,73.3043,24.1308
55.1592,73.2656,23.9405
55.3955,73.1712,23.7934
55.6131,73.0237,23.6887
55.8102,72.8262,23.6253
55.9853,72.582,23.6018
56.1373,72.2945,23.6167
56.2653,71.9675,23.6683
56.369,71.6046,23.7546
56.4481,71.2098,23.8738
56.5027,70.7869,24.0236
56.533,70.3399,24.2018
56.5392,69.8727,24.406
56.5217,69.389,24.6338
56.4808,68.8926,24.8824
56.4172,68.3871,25.1494
56.3315,67.8762,25.4321
56.2248,67.3633,25.7278
56.0984,66.8522,26.0339
