1.179879181985496928e+02,1.207788970392919765e+02,3.179769880937492132e+01
1.228992339397333637e+02,1.272095235928041745e+02,3.317722063187449777e+01
1.251236503932576909e+02,1.299301990303745811e+02,3.346968441400552763e+01
1.265131801172852022e+02,1.314566807262528414e+02,3.346598142368223705e+01
1.275731537678904459e+02,1.324827741114198147e+02,3.335391948859268041e+01
1.284220814494350691e+02,1.332459325773948251e+02,3.320023527234753402e+01
1.291353041477846091e+02,1.338433482411657849e+02,3.303146119853947482e+01
1.297461325175261777e+02,1.343275630663897289e+02,3.286170951115342120e+01
1.302689323365384269e+02,1.347188119863340887e+02,3.269717812838289461e+01
1.305777480593035875e+02,1.350174795432053827e+02,3.254694146612722960e+01
1.308327725034970683e+02,1.352548330524096514e+02,3.240696890019786736e+01
1.311538448307397573e+02,1.354760334295608857e+02,3.227810303657449253e+01
1.314461908356995536e+02,1.357494952010351028e+02,3.217481404849925752e+01
1.317128096879667112e+02,1.360257694556165120e+02,3.208319937164240088e+01
1.319441366216662175e+02,1.362885053305581096e+02,3.199906159756375246e+01
1.321263702342129420e+02,1.365175212739019344e+02,3.191895237645039529e+01
1.322543077935104350e+02,1.366939275409842764e+02,3.184035669461278673e+01
1.323294129841476092e+02,1.368140533307333726e+02,3.176381982834405093e+01
1.323552699545566043e+02,1.368915440834192339e+02,3.169257252481040155e+01
1.323470522668199578e+02,1.369430942532547704e+02,3.162890216735938864e+01
1.323219365788641255e+02,1.369822866760966065e+02,3.157370436154787896e+01
1.322591265346725606e+02,1.370668392315571111e+02,3.153676030515986994e+01
1.322296438364548408e+02,1.370159931616641984e+02,3.147872030642689367e+01
1.321197138886668938e+02,1.367094551048668620e+02,3.138791681374188869e+01
1.319205123657755223e+02,1.363412000328042097e+02,3.130979906889215059e+01
1.317518218366024314e+02,1.364640841546644765e+02,3.134637484579229394e+01
1.317011276920881357e+02,1.367824026345635104e+02,3.140600315977664181e+01
1.316872298207508436e+02,1.371729300122125608e+02,3.145769692582937083e+01
1.316655818882840663e+02,1.375643926867624032e+02,3.148856043844468999e+01
1.316220805850385318e+02,1.378908520781917559e+02,3.149124117961373770e+01
1.315416629705455591e+02,1.380971459214360380e+02,3.146458142318126150e+01
1.314342740691807876e+02,1.381180979776467836e+02,3.140650890611822987e+01
1.312779335227679383e+02,1.381921729042254867e+02,3.136983551066427722e+01
1.310556614719565118e+02,1.380401030366627140e+02,3.130076702030727631e+01
1.306495523683279885e+02,1.376108148314092148e+02,3.120322311860490316e+01
1.294759674305530837e+02,1.366144797057773133e+02,3.104338890981012966e+01
